Account number, Operation date, Beneficiary, Comment, Amount,Currency,Status
LT730000000000000001,6/1/2022,,The balance for the beginning,336.55,EUR,INCEPTIVE_BALANCE
LT730000000000000001,6/1/2022,PAYPAL ,,104.93,EUR,WITHDRAW
LT730000000000000001,6/2/2022,APPLE.COM/BILL ITUNES.COM,,0.99,EUR,WITHDRAW
LT730000000000000001,6/2/2022,PAYPAL ,,38.97,EUR,WITHDRAW
LT730000000000000001,6/2/2022,Jane Doe,,15,EUR,WITHDRAW
LT730000000000000001,6/3/2022,LIDL Cosmos,,13.22,EUR,WITHDRAW
LT730000000000000001,6/4/2022,,,0.9,EUR,WITHDRAW
LT730000000000000001,6/5/2022,Jane Doe,,20,EUR,DEPOSIT
LT730000000000000001,6/6/2022,UAB RIVEKAS,,7.9,EUR,WITHDRAW
LT730000000000000001,6/6/2022,LIDL Cosmos,,14.26,EUR,WITHDRAW
LT730000000000000001,6/6/2022,Jane Doe,,30,EUR,WITHDRAW
LT730000000000000001,6/7/2022,LIDL Cosmos,,43.77,EUR,WITHDRAW
LT730000000000000001,6/8/2022,LIDL Cosmos,  ,5.95,EUR,WITHDRAW
LT730000000000000001,6/9/2022,,Balance at end,40.66,EUR,FINAL_BALANCE
